"MIDAS","Samples","Stations","Years","FirstYear","LastYear","Mean","Median","Lake","Slope","PValue","TSSlope","TSPValue","TSKPValue","lm_category","TS_category"
"1",3188,671,1,35,1984,2018,6.83897168405365,6.93,"Foster Pond",0.00657038196349938,0.116312599776817,-0.00624999999999998,0.292239607215085,0.116312599776861,"No Change","No Change"
"2",3234,720,1,40,1975,2018,5.142125,5.1,"Stearns Pond",0.0191770681511223,1.13497666657468e-14,0.0206000617030029,8.27766280709406e-50,1.13497666657479e-14,"Increasing","Increasing"
"3",3262,242,1,31,1974,2018,3.68347107438017,3.705,"Songo Pond",0.0233295770463897,1.78107312819705e-13,0.0224090909090909,1.33568019173864e-23,1.78107312820131e-13,"Increasing","Increasing"
"4",3370,21,1,19,2000,2018,2.93809523809524,2.91,"Holt Pond",0.00362240829346086,0.669019892534951,0,0.513548893500135,0.669019892534945,"No Change","No Change"
"5",3374,438,3,37,1976,2018,7.43924657534247,7.5,"Peabody Pond",0.00450481865548643,0.379825701443319,-0.00703296703296701,0.437654145822164,0.379825701443259,"No Change","No Change"
"6",3376,491,1,32,1987,2018,4.76733197556008,4.8,"Cold Rain Pond",-0.00280601600782399,0.461589196736617,0,0.924128264434864,0.461589196736595,"No Change","No Change"
"7",3382,650,2,42,1976,2018,10.0429230769231,10.1,"Tricky Pond",-0.0193196079726412,0.000209118820326545,-0.0307638888888889,5.93557172460722e-30,0.00020911882032643,"Declining","Declining"
"8",3392,547,1,36,1976,2018,6.41480804387569,6.5,"Thomas Pond",0.0213167952590802,8.13919060260886e-09,0.0129166666666668,2.05702975252505e-19,8.13919060260351e-09,"Increasing","Increasing"
"9",3396,432,1,30,1989,2018,7.24284722222222,7.21,"Adams Pond",-0.00222028569500148,0.703958629111006,0,0.017196291757052,0.70395862911386,"No Change","No Change"
"10",3414,267,2,30,1989,2018,3.45670411985019,3.5,"Papoose Pond",0.0214121449103173,0.000436333828823403,0.0333333333333334,1.22571215671886e-19,0.000436333828822093,"Increasing","Increasing"
"11",3416,663,2,42,1977,2018,5.70221719457014,5.8,"Keoka Lake",0.035580672845584,1.64925718043787e-30,0.025,2.54428134680795e-51,1.64925718043744e-30,"Increasing","Increasing"
"12",3418,558,2,41,1978,2018,5.79035842293907,5.93,"Long Pond",0.0322737873530859,1.46429813654425e-12,0.0134408602150538,1.13458716349097e-15,1.46429813654402e-12,"Increasing","Increasing"
"13",3420,480,1,39,1978,2018,5.4460625,5.495,"Bear Pond",0.0111847947887326,0.00493549880420491,0,0.738691491559295,0.00493549880418788,"Increasing","No Change"
"14",3424,313,2,32,1987,2018,7.25635782747604,7.4,"Little Moose Pond",0.00217840804176954,0.723793577915861,-0.00598214285714285,0.00194907143015891,0.723793577915697,"No Change","No Change"
"15",3446,505,2,40,1977,2018,8.48154455445544,8.5,"Pleasant Lake",0.00121314413788008,0.767530975022815,0.017948717948718,3.00535485063042e-14,0.767530975022833,"No Change","No Change"
"16",3448,341,1,32,1986,2018,5.78134897360704,5.8,"Island Pond",0.0242063646235916,3.93401689269937e-05,0,0.0555411547298172,3.93401689268424e-05,"Increasing","No Change"
