MIDAS,Lake,FirstYear_lt,LastYear_lt,Samples_lt,Stations_lt,Years_lt,Median_lt,TSSlope_lt,TS_category_lt,FirstYear_st,LastYear_st,Samples_st,Stations_st,Years_st,Median_st,TSSlope_st,TS_category_st
3188,Foster Pond,1984,2018,671,1,35,6.93,-0.006249999999999978,No Change,2009,2018,269,1,10,6.84,-0.04999999999999982,Declining
3234,Stearns Pond,1975,2018,720,1,40,5.1,0.020600061703002878,Increasing,2009,2018,225,1,10,5.37,0.11250000000000004,Increasing
3262,Songo Pond,1974,2018,242,1,31,3.705,0.022409090909090906,Increasing,2009,2018,74,1,10,3.84,0.09000000000000001,Increasing
3370,Holt Pond,2000,2018,21,1,19,2.91,0,No Change,2009,2018,10,1,10,2.93,-0.007499999999999929,No Change
3374,Peabody Pond,1976,2018,438,3,37,7.5,-0.007032967032967015,No Change,2009,2018,120,1,10,7.529999999999999,0.1270357142857143,Increasing
3376,Cold Rain Pond,1987,2018,491,1,32,4.8,-0,No Change,2009,2018,76,1,10,4.615,0,No Change
3382,Tricky Pond,1976,2018,650,2,42,10.1,-0.03076388888888889,Declining,2009,2018,148,1,10,9.8,-0.0669047619047617,No Change
3388,Parker Pond,1978,2017,209,1,29,5.7,0.004347826086956506,No Change,2009,2017,45,1,6,5.35,-0.08714285714285719,Declining
3390,Coffee Pond,1974,2017,252,1,31,8.5,0.06269480519480518,Increasing,2009,2017,22,1,5,8.84,-0.16249999999999987,No Change
3392,Thomas Pond,1976,2018,547,1,36,6.5,0.01291666666666676,Increasing,2009,2018,231,1,10,6.5,0.040000000000000036,Increasing
3396,Adams Pond,1989,2018,432,1,30,7.21,0,No Change,2009,2018,138,1,10,7.355,0.07250000000000008,Increasing
3414,Papoose Pond,1989,2018,267,2,30,3.5,0.03333333333333336,Increasing,2009,2018,16,1,10,3.4749999999999996,0.015333333333333272,No Change
3416,Keoka Lake,1977,2018,663,2,42,5.8,0.025,Increasing,2009,2018,212,2,10,5.9,0.0787500000000001,Increasing
3418,Long Pond,1978,2018,558,2,41,5.93,0.013440860215053769,Increasing,2009,2018,122,1,10,6.045,0.10350000000000008,Increasing
3420,Bear Pond,1978,2018,480,1,39,5.495,0,No Change,2009,2018,185,1,10,5.31,0.1291666666666666,Increasing
3424,Little Moose Pond,1987,2018,313,2,32,7.4,-0.005982142857142849,No Change,2009,2018,121,1,10,7.25,0.07999999999999989,No Change
3446,Pleasant Lake,1977,2018,505,2,40,8.5,0.017948717948717954,No Change,2009,2018,100,2,10,8.1,0.15000000000000036,Increasing
3448,Island Pond,1986,2018,341,1,32,5.8,0,No Change,2009,2018,128,1,10,5.795,0.07249999999999997,Increasing
3452,Crystal Lake,1972,2018,510,1,43,5.5,0.024015625000000006,Increasing,2009,2018,135,1,10,5.53,0.06125000000000003,Increasing
3454,Highland Lake,1972,2018,497,3,45,6.7,0.013392857142857154,Increasing,2009,2018,131,1,10,6.94,0.10000000000000031,Increasing
3456,Woods Pond,1972,2018,575,1,44,4.8,0.019090909090909092,Increasing,2009,2018,126,1,10,4.9,0.10375000000000001,Increasing
3458,Otter Pond,1988,2018,174,1,30,3.5,0.05,Increasing,2009,2018,14,1,10,4.55,0.06352678571428576,No Change
3690,Raymond Pond,1974,2017,238,1,37,6.085,-0.012903225806451625,Declining,2009,2017,41,1,8,5.8,-0.018333333333333313,No Change
3694,Panther Pond,1974,2018,461,1,41,6.81,2.9411764705881727e-4,No Change,2009,2018,120,1,10,6.51,0.06816666666666667,Increasing
3696,Crescent Lake,1974,2018,720,2,38,6.45,-0.008333333333333316,No Change,2009,2018,236,2,10,6.2,0.03437500000000001,No Change
3700,Sabbathday Lake,1975,2018,294,2,37,6.6,0.0181818181818182,Increasing,2009,2018,91,1,10,6.89,0.16666666666666666,Increasing
3706,Notched Pond,1976,2018,339,1,40,5.6,0.020857142857142845,Increasing,2009,2018,106,1,10,5.845,0.04083333333333331,Increasing
3708,Crystal Lake,1974,2018,316,1,36,6.2,0.007796837084762788,No Change,2009,2018,116,1,10,6.345,0.13037499999999994,Increasing
3712,Forest Lake,1974,2018,536,2,35,5.3,0.018935574229691873,Increasing,2009,2018,122,1,10,5.5,-0.003124999999999989,No Change
3714,Little Sebago Lake,1975,2018,1194,7,44,5.625,0.008290476190476199,Increasing,2009,2018,342,3,10,5.73,0.105125,Increasing
3728,Collins Pond,1975,2018,248,1,28,5.095,0.005884615384615398,No Change,2012,2018,48,1,7,5.05,0.01083333333333332,Increasing
3734,Highland (Duck) Lake,1974,2018,859,2,44,5,-0.012678571428571437,Declining,2009,2018,333,2,10,4.9,0.08428571428571427,Increasing
5780,Long Lake,1976,2018,1310,4,43,6.1,0.022222222222222143,Increasing,2009,2018,374,3,10,6.4,0.07500000000000018,Increasing
5786,Sebago Lake,1970,2018,1723,20,47,10.05,-0.016308324677603583,No Change,2009,2018,276,11,10,9.600000381469727,0.20000006755193075,Increasing
9685,Bay of Naples Lake,1976,2018,377,1,41,6.5,0.006249999999999978,No Change,2009,2018,120,1,10,6.665,0.048833333333333305,No Change
3228,Duck Pond,NA,NA,NA,NA,NA,NA,NA,NA,2013,2018,6,1,6,2.82,0.030000000000000027,No Change
3417,Bog Pond,NA,NA,NA,NA,NA,NA,NA,NA,2009,2018,9,1,9,1.5,0,No Change
