MIDAS,Lake,Town,Station,Min_Sec,Min_Sec_Bottom,Mean_Sec,Mean_Sec_Bottom,Max_Sec,Max_Sec_Bottom,Num_Months_Secchi,Min_Col,Mean_Col,Max_Col,Min_Chla,Mean_Chla,Max_Chla,Ph,Alkalinity,Conductivity,Tphos_Ec,Tphos_Sg,Tphos_Bg,Tphos_Pg,Tsi_Sec,Tsi_Chl,Tsi_Tpec,Tsi_Tppg
3188,Ingalls (Foster's) Pond,Bridgton,1,3.1,NA,6.8,*,9,*,35,1,11,26,0.5,2.2,6.9,6.69,6.1,20,7,13,12,7,35,33,33,NA
3228,Duck Pond,Waterford,1,0.8,*,2.3,*,3.3,*,9,27,39,56,3.1,8.1,13,6.35,4.3,11,20,22,NA,NA,NA,NA,NA,NA
3230,Black Pond,Sweden,1,2.2,NA,2.3,NA,2.3,NA,1,NA,NA,NA,3.5,6.8,10.1,6.01,NA,NA,NA,19,NA,NA,NA,NA,NA,NA
3234,Stearns Pond,Sweden,1,3.1,NA,5.1,*,7.5,NA,40,1,25,57,1,3.5,16,6.62,6.8,30,9,NA,18,11,47,41,38,NA
3262,Songo Pond,"Bethel, Albany Twp",1,2.1,NA,3.8,NA,5.4,NA,30,42,52,57,2.6,5.5,12.1,6.26,4.8,34,11,NA,16,13,NA,46,NA,NA
3264,Broken Bridge Pond,Albany Twp,1,3.2,NA,4.2,NA,5.6,NA,2,NA,NA,NA,3.6,5.7,7.3,NA,4,18,11,NA,13,NA,NA,NA,NA,NA
3272,Keewaydin Lake,Stoneham,1,3.4,NA,5.2,NA,6.3,NA,4,NA,NA,NA,2.2,2.9,3.5,6.56,4.8,24,7,NA,14,NA,NA,NA,NA,NA
3370,Holt Pond,Bridgton,1,2.4,*,3,*,3.4,*,19,19,49,96,1.3,4,8.7,6.42,9.2,39,13,12,NA,NA,NA,NA,NA,NA
3374,Peabody Pond,"Bridgton, Sebago",1,4.6,NA,7.3,*,10.4,NA,37,1,13,35,0.8,2.6,10,6.71,6.2,23,6,NA,8,8,30,37,29,34
3374,Peabody Pond,"Bridgton, Sebago",2,5.5,NA,7.2,NA,8.2,NA,2,NA,NA,NA,5,5,5,6.63,7.3,NA,NA,NA,7,7,NA,NA,NA,NA
