MIDAS,Lake,Town,Station,Date,Time,Secchi_Depth,Secchi_On_Bottom,Scope,Wind_Level,Wind_Direction,Cloud_Cover
3188,Ingalls (Foster's) Pond,Bridgton,1,1984-05-06T00:00:00Z,1800,7,N,2,4,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1984-05-15T00:00:00Z,NA,NA,NA,NA,NA,NA,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,1984-05-27T00:00:00Z,1600,6,N,2,3,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1984-06-10T00:00:00Z,1200,8,N,2,1,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1984-07-14T00:00:00Z,NA,7.5,N,2,NA,NA,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,1984-08-14T00:00:00Z,NA,7.5,N,2,NA,NA,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,1984-09-14T00:00:00Z,NA,7.5,N,2,NA,NA,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,1985-09-05T00:00:00Z,1420,6.8,N,2,10,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1986-06-06T00:00:00Z,1500,5.7,N,2,3,7,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1986-06-28T00:00:00Z,1100,7.5,B,2,3,NA,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1986-07-17T00:00:00Z,1030,7,N,2,3,NA,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1986-08-17T00:00:00Z,0900,7.5,B,2,3,7,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1987-05-28T00:00:00Z,0945,7.5,N,2,3,4,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1987-06-18T00:00:00Z,0920,7,N,2,3,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1987-07-22T00:00:00Z,1100,8,B,2,7,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1988-06-02T00:00:00Z,NA,4,N,2,5,4,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1988-09-07T00:00:00Z,1400,5.6,N,2,2,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1988-09-16T00:00:00Z,1115,7.4,N,2,10,NA,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1989-06-05T00:00:00Z,1100,3.5,N,2,NA,NA,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,1989-06-18T00:00:00Z,1140,5,N,2,1,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1989-07-01T00:00:00Z,0925,6.2,N,2,2,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1989-07-19T00:00:00Z,0925,6.5,N,2,7,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1989-08-17T00:00:00Z,0815,6.6,N,2,5,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1989-09-12T00:00:00Z,0820,6,N,2,1,7,B
