MIDAS,Lake,Town,StationName,Date,Year,Secchi_Depth,Station
5786,Sebago Lake,"Gray, Windham",Big Bay,1990-07-03T00:00:00Z,1990,11.28600025177002,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1990-07-17T00:00:00Z,1990,14.421000480651855,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1990-08-03T00:00:00Z,1990,14.421000480651855,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1990-08-17T00:00:00Z,1990,12.74899959564209,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1990-08-27T00:00:00Z,1990,11.494999885559082,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1990-09-11T00:00:00Z,1990,11.28600025177002,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1990-09-25T00:00:00Z,1990,11.28600025177002,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1990-10-17T00:00:00Z,1990,13.37600040435791,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1990-11-01T00:00:00Z,1990,12.331000328063965,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1991-07-17T00:00:00Z,1991,14.421000480651855,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1991-07-30T00:00:00Z,1991,12.539999961853027,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1991-08-13T00:00:00Z,1991,13.68950080871582,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1991-08-27T00:00:00Z,1991,10.449999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1991-09-13T00:00:00Z,1991,10.345499992370605,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1991-10-04T00:00:00Z,1991,9.822999954223633,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1991-10-15T00:00:00Z,1991,9.822999954223633,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1991-11-06T00:00:00Z,1991,11.28600025177002,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1992-06-04T00:00:00Z,1992,10.449999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1992-06-17T00:00:00Z,1992,10.868000030517578,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1992-06-30T00:00:00Z,1992,12.853500366210938,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1992-07-16T00:00:00Z,1992,12.122000694274902,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1992-08-07T00:00:00Z,1992,13.793999671936035,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1992-08-21T00:00:00Z,1992,10.241000175476074,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1992-10-07T00:00:00Z,1992,13.167000770568848,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1992-10-19T00:00:00Z,1992,10.868000030517578,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1993-06-24T00:00:00Z,1993,11.912999153137207,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1993-07-08T00:00:00Z,1993,13.271499633789062,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1993-07-26T00:00:00Z,1993,12.43549919128418,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1993-08-09T00:00:00Z,1993,14.316499710083008,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1993-08-27T00:00:00Z,1993,14.002999305725098,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1993-09-09T00:00:00Z,1993,10.6589994430542,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1993-10-01T00:00:00Z,1993,10.6589994430542,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1993-10-14T00:00:00Z,1993,11.28600025177002,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1993-10-26T00:00:00Z,1993,11.703999519348145,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1994-06-17T00:00:00Z,1994,10.97249984741211,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1994-06-30T00:00:00Z,1994,11.28600025177002,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1994-07-20T00:00:00Z,1994,15.883999824523926,101
