MIDAS,Lake,Towns,Area_ac,Perim_mi,D_Mean_ft,D_Max_ft,Volume_acft,DDrain_sqmi,TDrain_sqmi,Flushes_p_yr,Trop_Cat,Dam,Elev_ft,Major_Drainage,Sub_Drainage,HUC10_Name,HUC10_Code,USGS_Quad24,County,UTM_X,UTM_Y,Latitude,Longitude,WQ_Statement,Invasives,Fishery
1,Solon Flowage,Solon,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,KENNEBEC,UPPER MIDDLE KENNEBEC,Kennebec River (6),103000303,Solon,Somerset,431458,4979023,44.96134228,-69.86906354,n/a,None known,n/a
2,Indian Pond,Lexington Twp,55,1.2,12,22,580.8276968,1.096524,1.34,2.12,MESO,surface increased <50%,705,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,413582,4979862,44.96694199,-70.09583271,Average,None known,Warmwater
3,Pineo Pond,Deblois,7,0.5,19,52,NA,NA,0.18,NA,OLIGO,no dam,205,COASTAL,PLEASANT,Pleasant River,105000208,Schoodic Lake,Washington,584100,4952237,44.71857958,-67.93813392,n/a,None known,Coldwater
4,Gilman Pond,"New Portland, Lexington Twp",408,6.3,6,10,2381.08464,78.382161,91.5,39.64,MESO,surface increased >50%,372,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,416806,4978735,44.95718578,-70.05476903,n/a,None known,Coldwater + Warmwater
5,unnamed pond,Deblois,12,0.8,NA,NA,119.17584,0.235521,NA,5.4,NA,NA,157,NARRAGUAGUS,LOWER NARRAGUAGUS,Narraguagus River,105000209,Schoodic Lake,Washington,580586,4950483,44.7031888,-67.9827737,n/a,None known,n/a
6,Safford Pond,Lexington Twp,42,1.2,4,9,437.7888,0.606177,0.86,1.6500000000000001,NA,no dam,825,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,412511,4983510,44.99964551,-70.11004383,n/a,None known,Warmwater
7,Estes Lake,"Alfred, Sanford",387,15.200000000000001,10,30,3127.715603,33.189156,98,55.72,EUTRO,surface increased >50%,214,COASTAL,MOUSAM,Mousam River,106000302,Alfred,York,364441,4809296,43.42429629,-70.67468899,Below average,None known,Warmwater
8,Little Indian Pond,Lexington Twp,4,0.5,NA,NA,NA,NA,1.98,NA,MESO,NA,635,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,412622,4979652,44.96493137,-70.10796921,n/a,None known,n/a
9,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",2568,12.8,17,46,42043.41142,93.555891,130,3.56,MESO,no dam,714,ST. JOHN,UPPER FISH,Fish River Lake,101000301,Fish River Lake,Aroostook,516846,5186331,46.83031164,-68.77910877,Average,None known,Coldwater
10,Pennell Pond,New Portland,15,0.8,NA,NA,155.65824,0.436293,0.48,3.15,NA,NA,787,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,412641,4976321,44.93495256,-70.10714802,n/a,None known,Warmwater
