MIDAS,Lake,Town,Station,Date,Depth,Type,Color_Method,Parameter,Value,Method,Units
3454,Highland Lake,Bridgton,2,1938-06-29T00:00:00Z,0,G,NA,pH,6.8,NA,NA
3454,Highland Lake,Bridgton,2,1938-06-29T00:00:00Z,4.6,G,NA,pH,6.3,NA,NA
3454,Highland Lake,Bridgton,2,1938-06-29T00:00:00Z,6.1,G,NA,pH,6.2,NA,NA
3454,Highland Lake,Bridgton,2,1938-06-29T00:00:00Z,7.6,G,NA,pH,6.1,NA,NA
3454,Highland Lake,Bridgton,3,1938-06-29T00:00:00Z,0,G,NA,pH,6.8,NA,NA
3454,Highland Lake,Bridgton,3,1938-06-29T00:00:00Z,4.6,G,NA,pH,6.6,NA,NA
3454,Highland Lake,Bridgton,3,1938-06-29T00:00:00Z,6.1,G,NA,pH,6.2,NA,NA
3454,Highland Lake,Bridgton,3,1938-06-29T00:00:00Z,9.1,G,NA,pH,6.1,NA,NA
3454,Highland Lake,Bridgton,3,1938-06-29T00:00:00Z,14,G,NA,pH,6,NA,NA
3454,Highland Lake,Bridgton,1,1938-08-20T00:00:00Z,0,G,NA,pH,6.7,NA,NA
3454,Highland Lake,Bridgton,1,1938-08-20T00:00:00Z,6.1,G,NA,pH,6.5,NA,NA
3454,Highland Lake,Bridgton,1,1938-08-20T00:00:00Z,7.6,G,NA,pH,6.1,NA,NA
3454,Highland Lake,Bridgton,1,1938-08-20T00:00:00Z,10.7,G,NA,pH,5.9,NA,NA
3454,Highland Lake,Bridgton,1,1938-08-20T00:00:00Z,13.4,G,NA,pH,5.9,NA,NA
3454,Highland Lake,Bridgton,1,1955-08-11T00:00:00Z,0,G,NA,pH,6.3,NA,NA
3454,Highland Lake,Bridgton,1,1955-08-11T00:00:00Z,7.6,G,NA,pH,5.8,NA,NA
3454,Highland Lake,Bridgton,1,1955-08-11T00:00:00Z,10.7,G,NA,pH,5.7,NA,NA
3454,Highland Lake,Bridgton,1,1955-08-11T00:00:00Z,13.9,G,NA,pH,5.7,NA,NA
3454,Highland Lake,Bridgton,1,1955-08-11T00:00:00Z,15.4,G,NA,pH,5.7,NA,NA
5780,Long Lake,"Bridgton, Harrison, Naples",6,1972-06-03T00:00:00Z,0,G,NA,pH,6.9,NA,NA
5780,Long Lake,"Bridgton, Harrison, Naples",6,1972-06-03T00:00:00Z,0,G,NA,Conductivity,20,E,uS
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",2,1972-06-03T00:00:00Z,0,G,NA,pH,7,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",2,1972-06-03T00:00:00Z,0,G,NA,Conductivity,20,E,uS
