MIDAS,Lake,Towns,Flushes_p_yr,Trop_Cat,Dam,Major_Drainage,Sub_Drainage,HUC10_Name,HUC10_Code,USGS_Quad24,County,UTM_X,UTM_Y,Latitude,Longitude,WQ_Statement,Invasives,Fishery,Area_sq_m,Perim_km,D_Mean_m,D_Max_m,Volume_m3,DDrain_ha,TDrain_ha,Elev_m
1,Solon Flowage,Solon,NA,NA,NA,KENNEBEC,UPPER MIDDLE KENNEBEC,Kennebec River (6),103000303,Solon,Somerset,431458,4979023,44.96134228,-69.86906354,n/a,None known,n/a,1153354.08,NA,NA,NA,NA,NA,NA,91.4
2,Indian Pond,Lexington Twp,2.12,MESO,surface increased <50%,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,413582,4979862,44.96694199,-70.09583271,Average,None known,Warmwater,222577.1,0.19,3.7,6.7,716440,284,347.06,214.9
3,Pineo Pond,Deblois,NA,OLIGO,no dam,COASTAL,PLEASANT,Pleasant River,105000208,Schoodic Lake,Washington,584100,4952237,44.71857958,-67.93813392,n/a,None known,Coldwater,28327.99,0.08,5.8,15.8,NA,NA,46.62,62.5
4,Gilman Pond,"New Portland, Lexington Twp",39.64,MESO,surface increased >50%,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,416806,4978735,44.95718578,-70.05476903,n/a,None known,Coldwater + Warmwater,1651117.42,1.01,1.8,3,2937025,20300.89,23698.39,113.4
5,unnamed pond,Deblois,5.4,NA,NA,NARRAGUAGUS,LOWER NARRAGUAGUS,Narraguagus River,105000209,Schoodic Lake,Washington,580586,4950483,44.7031888,-67.9827737,n/a,None known,n/a,48562.28,0.13,NA,NA,147001,61,NA,47.9
6,Safford Pond,Lexington Twp,1.6500000000000001,NA,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,412511,4983510,44.99964551,-70.11004383,n/a,None known,Warmwater,169967.97,0.19,1.2,2.7,540005,157,222.74,251.5
7,Estes Lake,"Alfred, Sanford",55.72,EUTRO,surface increased >50%,COASTAL,MOUSAM,Mousam River,106000302,Alfred,York,364441,4809296,43.42429629,-70.67468899,Below average,None known,Warmwater,1566133.44,2.45,3,9.1,3857980,8595.95,25381.88,65.2
8,Little Indian Pond,Lexington Twp,NA,MESO,NA,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,412622,4979652,44.96493137,-70.10796921,n/a,None known,n/a,16187.43,0.08,NA,NA,NA,NA,512.82,193.5
9,Fish River Lake,"T13 R8 WELS, T14 R8 WELS",3.56,MESO,no dam,ST. JOHN,UPPER FISH,Fish River Lake,101000301,Fish River Lake,Aroostook,516846,5186331,46.83031164,-68.77910877,Average,None known,Coldwater,10392327.29,2.06,5.2,14,51859784,24230.86,33669.85,217.6
10,Pennell Pond,New Portland,3.15,NA,NA,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Portland,Somerset,412641,4976321,44.93495256,-70.10714802,n/a,None known,Warmwater,60702.85,0.13,NA,NA,192002,113,124.32,239.9
